2026-04-28 21:03:34 | ERROR   | Error al procesar fuente Google News — Tendencias: 'label'
2026-04-28 21:03:34 | ERROR   | Error al procesar fuente Google News — Finanzas CO: 'label'
2026-04-28 21:03:34 | ERROR   | Error al procesar fuente BID — Mejorando Vidas: 'label'
2026-04-28 21:03:34 | ERROR   | Error al procesar fuente Google News — Economía: 'label'
2026-04-28 21:03:35 | ERROR   | Error al procesar fuente Infobae Colombia: 'label'
2026-04-28 21:03:35 | ERROR   | Error al procesar fuente El País América: 'label'
2026-04-28 21:43:20 | WARNING | [Gemini] Error en llamada API: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-04-28 21:43:20 | WARNING | [Gemini] Batch 1/7 sin resultados.
2026-04-28 21:43:25 | WARNING | [Gemini] Error en llamada API: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-04-28 21:43:25 | WARNING | [Gemini] Batch 2/7 sin resultados.
2026-04-28 21:43:29 | WARNING | [Gemini] Error en llamada API: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-04-28 21:43:29 | WARNING | [Gemini] Batch 3/7 sin resultados.
2026-04-28 21:43:34 | WARNING | [Gemini] Error en llamada API: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-04-28 21:43:34 | WARNING | [Gemini] Batch 4/7 sin resultados.
2026-04-28 21:43:38 | WARNING | [Gemini] Error en llamada API: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-04-28 21:43:38 | WARNING | [Gemini] Batch 5/7 sin resultados.
2026-04-28 21:43:43 | WARNING | [Gemini] Error en llamada API: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-04-28 21:43:43 | WARNING | [Gemini] Batch 6/7 sin resultados.
2026-04-28 21:43:47 | WARNING | [Gemini] Error en llamada API: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-04-28 21:43:47 | WARNING | [Gemini] Batch 7/7 sin resultados.
2026-04-28 21:49:47 | WARNING | [Gemini] Error en llamada API: 429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 0, model: gemini-2.0-flash\n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_input_token_count, limit: 0, model: gemini-2.0-flash\nPlease retry in 12.334280621s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerDayPerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.0-flash'}}, {'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.0-flash'}}, {'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_input_token_count', 'quotaId': 'GenerateContentInputTokensPerModelPerMinute-FreeTier', 'quotaDimensions': {'location': 'global', 'model': 'gemini-2.0-flash'}}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '12s'}]}}
2026-04-28 21:49:47 | WARNING | [Gemini] Batch 1/1 sin resultados.
2026-04-29 00:24:48 | WARNING | [Groq AI] Paquete 'groq' no instalado. pip install groq
